iter	Passed	Remaining
843	12378	2287
844	12392	2273
845	12405	2258
846	12420	2243
847	12430	2228
848	12442	2213
849	12457	2198
850	12470	2183
851	12480	2167
852	12491	2152
853	12505	2137
854	12516	2122
855	12527	2107
856	12539	2092
857	12552	2077
858	12562	2061
859	12573	2046
860	12586	2031
861	12597	2016
862	12608	2001
863	12624	1987
864	12641	1972
865	12663	1959
866	12673	1944
867	12686	1929
868	12701	1914
869	12713	1899
870	12728	1885
871	12742	1870
872	12759	1856
873	12775	1841
874	12792	1827
875	12807	1812
876	12820	1798
877	12834	1783
878	12847	1768
879	12859	1753
880	12873	1738
881	12890	1724
882	12905	1709
883	12920	1695
884	12935	1680
885	12949	1666
886	12963	1651
887	12977	1636
888	12992	1622
889	13007	1607
890	13022	1593
891	13041	1578
892	13068	1565
893	13097	1552
894	13115	1538
895	13129	1523
896	13140	1508
897	13151	1493
898	13163	1478
899	13176	1464
900	13187	1449
901	13201	1434
902	13217	1419
903	13232	1405
904	13249	1390
905	13264	1376
906	13277	1361
907	13291	1346
908	13306	1332
909	13320	1317
910	13334	1302
911	13349	1288
912	13363	1273
913	13376	1258
914	13388	1243
915	13398	1228
916	13413	1214
917	13425	1199
918	13438	1184
919	13451	1169
920	13463	1154
921	13474	1139
922	13486	1125
923	13499	1110
924	13534	1097
925	13566	1084
926	13606	1071
927	13635	1057
928	13651	1043
929	13668	1028
930	13680	1013
931	13692	999
932	13708	984
933	13721	969
934	13734	954
935	13745	939
936	13758	925
937	13771	910
938	13787	895
939	13805	881
940	13819	866
941	13834	851
942	13845	836
943	13859	822
944	13873	807
945	13885	792
946	13898	777
947	13913	763
948	13926	748
949	13943	733
950	13958	719
951	13974	704
952	13989	689
953	14005	675
954	14023	660
955	14050	646
956	14087	632
957	14105	618
958	14122	603
959	14138	589
960	14155	574
961	14170	559
962	14185	545
963	14202	530
964	14216	515
965	14230	500
966	14244	486
967	14260	471
968	14274	456
969	14289	441
970	14304	427
971	14316	412
972	14330	397
973	14344	382
974	14356	368
975	14371	353
976	14386	338
977	14403	323
978	14419	309
979	14437	294
980	14454	279
981	14484	265
982	14510	250
983	14526	236
984	14541	221
985	14554	206
986	14567	191
987	14583	177
988	14598	162
